,TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude,species,sites
8495,93230,Hymenosporum flavum :: Sweet Shade,160 Church St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7684471751421,-122.42914757826,Hymenosporum,Sidewalk
8496,100033,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1199 Mason St,Sidewalk: Curb side : Cutout,,,37.794506209154704,-122.411412418869,Prunus,Sidewalk
8497,86378,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1361 26th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.762101239533294,-122.484616725198,Prunus,Sidewalk
8498,20887,Metrosideros excelsa :: New Zealand Xmas Tree,1900X Sunset Blvd,Sidewalk: Curb side : Cutout,12.0,10,37.751523897419794,-122.49520745004601,Metrosideros,Sidewalk
8499,20770,Metrosideros excelsa :: New Zealand Xmas Tree,1700X Sunset Blvd,Sidewalk: Curb side : Cutout,3.0,10,37.7552818900199,-122.495470028613,Metrosideros,Sidewalk
8500,90854,Arbutus 'Marina' :: Hybrid Strawberry Tree,2427 Cabrillo St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7743361832333,-122.484876920791,Arbutus,Sidewalk
8501,120915,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,499X South Van Ness Ave,Sidewalk: Curb side : Cutout,4.0,3x3,37.7654670122947,-122.41751644763,Pyrus,Sidewalk
8502,98182,Ulmus parvifolia :: Chinese Elm,221 Noe St,Sidewalk: Curb side : Cutout,3.0,3x3,37.765530324972204,-122.43314799692499,Ulmus,Sidewalk
8503,20230,Maytenus boaria :: Mayten,1706 Steiner St,Sidewalk: Curb side : Cutout,12.0,4x4,37.7850362437092,-122.434660955918,Maytenus,Sidewalk
8504,14115,Platanus x hispanica :: Sycamore: London Plane,1564 Market St,Sidewalk: Curb side : Cutout,12.0,4x4,37.7746603099629,-122.420072248795,Platanus,Sidewalk
8505,15249,Ficus nitida :: Laurel Fig,1450X Mission St,Sidewalk: Curb side : Cutout,12.0,3X3,37.7747847690696,-122.416682257719,Ficus,Sidewalk
8506,12180,Ligustrum lucidum :: Glossy Privet,1403X La Salle Ave,Sidewalk: Curb side : Cutout,12.0,3X3,37.7340798748876,-122.38587626093799,Ligustrum,Sidewalk
8507,89634,Pyrus calleryana :: Ornamental Pear,3449X Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7780560543276,-122.485488287229,Pyrus,Sidewalk
8508,793,Acacia spp :: Acacia Spp,2501X 37th Ave,Sidewalk: Curb side : Cutout,24.0,3,37.7402730222877,-122.49493217502199,Acacia,Sidewalk
8509,17011,Ficus nitida :: Laurel Fig,1001 Oak St,Sidewalk: Curb side : Cutout,18.0,3X3,37.773285094559895,-122.43579071263001,Ficus,Sidewalk
8510,89083,Laurus nobilis :: Sweet Bay: Grecian Laurel,434 18th Ave,Sidewalk: Curb side : Cutout,3.0,3x3,37.779675414185704,-122.477109150816,Laurus,Sidewalk
8511,7567,Ulmus parvifolia :: Chinese Elm,2940 Folsom St,Sidewalk: Curb side : Cutout,60.0,3X3,37.750181591677396,-122.414058177859,Ulmus,Sidewalk
8512,3015,Platanus x hispanica :: Sycamore: London Plane,2451X California St,Sidewalk: Curb side : Cutout,25.0,2X2,37.7887318402336,-122.434664390603,Platanus,Sidewalk
8513,18380,Ficus nitida :: Laurel Fig,756 Potrero Ave,Sidewalk: Curb side : Cutout,40.0,3X3,37.7599168463595,-122.40714457080601,Ficus,Sidewalk
8514,90368,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',441 Balboa St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7772080448645,-122.46337944049101,Tristaniopsis,Sidewalk
8515,17255,Eucalyptus Spp :: Eucalyptus,17 Osceola Ln,Sidewalk: Curb side : Cutout,24.0,3X3,37.7313900334691,-122.382394702172,Eucalyptus,Sidewalk
8516,9296,Corymbia citriodora :: Lemon Scented Gum,135X Mansell St,Sidewalk: Curb side : Cutout,24.0,3X3,37.7210170109869,-122.40230748066001,Corymbia,Sidewalk
8517,89615,Tristaniopsis laurina :: Swamp Myrtle,4103 Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.777742872031396,-122.492366319046,Tristaniopsis,Sidewalk
8518,91781,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,1100X Harrison St,Sidewalk: Curb side : Cutout,3.0,3x3,37.775550756793606,-122.40634955501001,Platanus,Sidewalk
8519,90331,Eriobotrya deflexa :: Bronze Loquat,1821 Balboa St,Sidewalk: Curb side : Cutout,3.0,3x3,37.776504228007205,-122.478480607879,Eriobotrya,Sidewalk
8520,90180,Eriobotrya deflexa :: Bronze Loquat,1630 Balboa St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7767401818998,-122.476490408326,Eriobotrya,Sidewalk
8521,5205,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,781 Divisadero St,Sidewalk: Curb side : Cutout,3.0,4X4,37.776675063930504,-122.438280468838,Platanus,Sidewalk
8522,11193,Prunus spp :: Cherry,162 Idora Ave,Median : Cutout,18.0,8,37.7443147925186,-122.458170108957,Prunus,Median 
8523,91822,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,2345 Harrison St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7600357358129,-122.41253801314801,Platanus,Sidewalk
8524,96856,Cupressus macrocarpa :: Monterey Cypress,324X Alemany Blvd,Median : Cutout,36.0,410x30,37.73442890905461,-122.4116553033,Cupressus,Median 
8525,93392,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',3089 Turk Blvd,Sidewalk: Curb side : Cutout,3.0,3x3,37.777339478940604,-122.456632442869,Tristaniopsis,Sidewalk
8526,7314,Olea europaea :: Olive Tree,2301X Pine St,Sidewalk: Curb side : Cutout,12.0,3X3,37.7878761904759,-122.433682830303,Olea,Sidewalk
8527,95305,Lophostemon confertus :: Brisbane Box,5548 03rd St,Sidewalk: Curb side : Cutout,6.0,3x3,37.780668237167895,-122.395104840735,Lophostemon,Sidewalk
8528,17900,Olea europaea :: Olive Tree,2280 Pine St,Sidewalk: Curb side : Cutout,18.0,3X3,37.788049634497796,-122.433412192311,Olea,Sidewalk
8529,16137,Lophostemon confertus :: Brisbane Box,370 Monterey Blvd,Sidewalk: Curb side : Cutout,6.0,3X3,37.7316765391045,-122.443617041287,Lophostemon,Sidewalk
8530,89675,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2543 Anza St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7784863623151,-122.47584720917801,Prunus,Sidewalk
